# TBinMid=0.065 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   1.87188065E+09   3.62267162E+09   3.62267162E+09   2.85426603E+09   1.96222650E+09   1.96222650E+09
   9.80000000E-03   1.87641751E+09   3.57313461E+09   3.57313461E+09   2.87006984E+09   1.97410455E+09   1.97410455E+09
   1.00000000E-02   1.87856480E+09   3.51939687E+09   3.51939687E+09   2.88101230E+09   1.98322850E+09   1.98322850E+09
   1.02000000E-02   1.87841263E+09   3.46189136E+09   3.46189136E+09   2.88723467E+09   1.98967277E+09   1.98967277E+09
   1.04000000E-02   1.87605394E+09   3.40103643E+09   3.40103643E+09   2.88889259E+09   1.99351817E+09   1.99351817E+09
   1.06000000E-02   1.87158385E+09   3.33723438E+09   3.33723438E+09   2.88615406E+09   1.99485095E+09   1.99485095E+09
   1.08000000E-02   1.86509899E+09   3.27087022E+09   3.27087022E+09   2.87919753E+09   1.99376197E+09   1.99376197E+09
   1.10000000E-02   1.85669700E+09   3.20231079E+09   3.20231079E+09   2.86821001E+09   1.99034597E+09   1.99034597E+09
   1.12000000E-02   1.84647597E+09   3.13190415E+09   3.13190415E+09   2.85338538E+09   1.98470072E+09   1.98470072E+09
   1.14000000E-02   1.83453402E+09   3.05997910E+09   3.05997910E+09   2.83492270E+09   1.97692641E+09   1.97692641E+09
   1.16000000E-02   1.82096882E+09   2.98684503E+09   2.98684503E+09   2.81302476E+09   1.96712497E+09   1.96712497E+09
   1.18000000E-02   1.80587727E+09   2.91279186E+09   2.91279186E+09   2.78789665E+09   1.95539946E+09   1.95539946E+09
   1.20000000E-02   1.78935513E+09   2.83809018E+09   2.83809018E+09   2.75974445E+09   1.94185352E+09   1.94185352E+09
   1.22000000E-02   1.77149671E+09   2.76299148E+09   2.76299148E+09   2.72877408E+09   1.92659088E+09   1.92659088E+09
   1.24000000E-02   1.75239465E+09   2.68772856E+09   2.68772856E+09   2.69519020E+09   1.90971488E+09   1.90971488E+09
   1.26000000E-02   1.73213965E+09   2.61251595E+09   2.61251595E+09   2.65919526E+09   1.89132803E+09   1.89132803E+09
   1.28000000E-02   1.71082028E+09   2.53755052E+09   2.53755052E+09   2.62098863E+09   1.87153168E+09   1.87153168E+09
   1.30000000E-02   1.68852279E+09   2.46301205E+09   2.46301205E+09   2.58076584E+09   1.85042565E+09   1.85042565E+09
   1.32000000E-02   1.66533102E+09   2.38906390E+09   2.38906390E+09   2.53871789E+09   1.82810791E+09   1.82810791E+09
   1.34000000E-02   1.64132620E+09   2.31585374E+09   2.31585374E+09   2.49503065E+09   1.80467437E+09   1.80467437E+09
   1.36000000E-02   1.61658691E+09   2.24351426E+09   2.24351426E+09   2.44988441E+09   1.78021860E+09   1.78021860E+09
   1.38000000E-02   1.59118901E+09   2.17216394E+09   2.17216394E+09   2.40345340E+09   1.75483163E+09   1.75483163E+09
   1.40000000E-02   1.56520551E+09   2.10190779E+09   2.10190779E+09   2.35590546E+09   1.72860182E+09   1.72860182E+09
   1.42000000E-02   1.53870661E+09   2.03283818E+09   2.03283818E+09   2.30740178E+09   1.70161470E+09   1.70161470E+09
