# TBinMid=3.4515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   3.29679678E+09   3.37584015E+09   3.37584015E+09   2.88159465E+09   3.21635924E+09   3.21635924E+09
   9.80000000E-03   3.25797469E+09   3.33518318E+09   3.33518318E+09   2.85316708E+09   3.19593592E+09   3.19593592E+09
   1.00000000E-02   3.22014200E+09   3.29559341E+09   3.29559341E+09   2.82527509E+09   3.17543428E+09   3.17543428E+09
   1.02000000E-02   3.18326239E+09   3.25702975E+09   3.25702975E+09   2.79791054E+09   3.15489368E+09   3.15489368E+09
   1.04000000E-02   3.14730110E+09   3.21945308E+09   3.21945308E+09   2.77106458E+09   3.13434848E+09   3.13434848E+09
   1.06000000E-02   3.11222483E+09   3.18282606E+09   3.18282606E+09   2.74472782E+09   3.11382865E+09   3.11382865E+09
   1.08000000E-02   3.07800173E+09   3.14711313E+09   3.14711313E+09   2.71889044E+09   3.09336029E+09   3.09336029E+09
   1.10000000E-02   3.04460135E+09   3.11228037E+09   3.11228037E+09   2.69354236E+09   3.07296612E+09   3.07296612E+09
   1.12000000E-02   3.01199452E+09   3.07829544E+09   3.07829544E+09   2.66867331E+09   3.05266589E+09   3.05266589E+09
   1.14000000E-02   2.98015338E+09   3.04512750E+09   3.04512750E+09   2.64427291E+09   3.03247673E+09   3.03247673E+09
   1.16000000E-02   2.94905126E+09   3.01274713E+09   3.01274713E+09   2.62033071E+09   3.01241343E+09   3.01241343E+09
   1.18000000E-02   2.91866265E+09   2.98112624E+09   2.98112624E+09   2.59683630E+09   2.99248877E+09   2.99248877E+09
   1.20000000E-02   2.88896312E+09   2.95023805E+09   2.95023805E+09   2.57377932E+09   2.97271371E+09   2.97271371E+09
   1.22000000E-02   2.85992934E+09   2.92005697E+09   2.92005697E+09   2.55114950E+09   2.95309764E+09   2.95309764E+09
   1.24000000E-02   2.81710954E+09   2.87724671E+09   2.87724671E+09   2.50821775E+09   2.90891594E+09   2.90891594E+09
   1.26000000E-02   2.77398981E+09   2.83424527E+09   2.83424527E+09   2.46436912E+09   2.86332504E+09   2.86332504E+09
   1.28000000E-02   2.73219283E+09   2.79254625E+09   2.79254625E+09   2.42195333E+09   2.81914984E+09   2.81914984E+09
   1.30000000E-02   2.69165829E+09   2.75209079E+09   2.75209079E+09   2.38090233E+09   2.77632526E+09   2.77632526E+09
   1.32000000E-02   2.65232954E+09   2.71282357E+09   2.71282357E+09   2.34115228E+09   2.73479016E+09   2.73479016E+09
   1.34000000E-02   2.61415323E+09   2.67469249E+09   2.67469249E+09   2.30264326E+09   2.69448707E+09   2.69448707E+09
   1.36000000E-02   2.57707917E+09   2.63764848E+09   2.63764848E+09   2.26531892E+09   2.65536184E+09   2.65536184E+09
   1.38000000E-02   2.53955627E+09   2.59986589E+09   2.59986589E+09   2.22912625E+09   2.61736350E+09   2.61736350E+09
   1.40000000E-02   2.49264235E+09   2.55077271E+09   2.55077271E+09   2.19401535E+09   2.58044393E+09   2.58044393E+09
   1.42000000E-02   2.44719867E+09   2.50322960E+09   2.50322960E+09   2.15993916E+09   2.54455777E+09   2.54455777E+09
   1.44000000E-02   2.40315987E+09   2.45716734E+09   2.45716734E+09   2.12685331E+09   2.50966212E+09   2.50966212E+09
   1.46000000E-02   2.36046434E+09   2.41252073E+09   2.41252073E+09   2.09471593E+09   2.47571646E+09   2.47571646E+09
   1.48000000E-02   2.31905395E+09   2.36922825E+09   2.36922825E+09   2.06348741E+09   2.44268244E+09   2.44268244E+09
   1.50000000E-02   2.27887382E+09   2.32723183E+09   2.32723183E+09   2.03313035E+09   2.41052373E+09   2.41052373E+09
   1.52000000E-02   2.23987210E+09   2.28647661E+09   2.28647661E+09   2.00360934E+09   2.37920595E+09   2.37920595E+09
   1.54000000E-02   2.20199974E+09   2.24691071E+09   2.24691071E+09   1.97489083E+09   2.34869646E+09   2.34869646E+09
