#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double mx_y
#column int track_id
#column int event_id
#column double delta_z
#column double delta_E
#column int type
#column int fdetected_sp
0,0,0,0,0,0,0
0,1,0,6,0,0,0
0,0,0,0,0,0,0
0,1,0,288,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,6,0,0,0
0,0,0,0,0,0,0
0,1,0,30,0,0,0
0,0,0,0,0,0,0
0,1,1,6,0,0,0
0,0,0,0,0,0,0
0,1,1,288,0,0,0
0,0,0,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,0,0,0
0,1,1,6,0,0,0
0,0,0,0,0,0,0
0,1,1,30,0,0,0
0,0,0,0,0,0,0
0,1,2,6,0,0,0
0,0,0,0,0,0,0
0,1,2,288,0,0,0
0,0,0,0,0,0,0
0,1,2,0,0,0,0
0,0,0,0,0,0,0
0,1,2,0,0,0,0
0,0,0,0,0,0,0
0,1,2,6,0,0,0
0,0,0,0,0,0,0
0,1,2,30,0,0,0
0,0,0,0,0,0,0
0,1,3,6,0,0,0
0,0,0,0,0,0,0
0,1,3,288,0,0,0
0,0,0,0,0,0,0
0,1,3,0,0,0,0
0,0,0,0,0,0,0
0,1,3,0,0,0,0
0,0,0,0,0,0,0
0,1,3,6,0,0,0
0,0,0,0,0,0,0
0,1,3,30,0,0,0
0,0,0,0,0,0,0
0,1,4,6,0,0,0
0,0,0,0,0,0,0
0,1,4,288,0,0,0
0,0,0,0,0,0,0
0,1,4,0,0,0,0
0,0,0,0,0,0,0
0,1,4,0,0,0,0
0,0,0,0,0,0,0
0,1,4,6,0,0,0
0,0,0,0,0,0,0
0,1,4,30,0,0,0
0,0,0,0,0,0,0
0,1,5,4.0915,-3.99422,0,0
2.69675,0,0,0,0,0,0
0,1,5,1.9085,0,0,0
35.5477,0,0,0,0,0,0
0,1,5,25.1573,0,0,0
0,0,0,0,0,0,0
0,1,5,0,0,0,0
0,0,0,0,0,0,0
0,1,5,0,0,0,0
4.15122,0,0,0,0,0,0
0,1,5,2.93784,0,0,0
20.7561,0,0,0,0,0,0
0,1,5,14.6892,0,0,0
0.125607,0,0,0,0,0,0
0,2,5,0.254963,-0.305513,1,0
0.135047,0,0,0,0,0,0
0,2,5,0.213448,-0.199079,1,0
0.208436,0,0,0,0,0,0
0,2,5,0.134041,-0.190394,1,0
0.166815,0,0,0,0,0,0
0,2,5,0.155261,-0.21364,1,0
0.111004,0,0,0,0,0,0
0,2,5,0.154124,-0.666372,1,0
0.100646,0,0,0,0,0,0
0,2,5,0.132148,-0.133848,1,0
0.0844229,0,0,0,0,0,0
0,2,5,0.129794,-0.139183,1,0
0.076506,0,0,0,0,0,0
0,2,5,0.124269,-0.104815,1,0
0.134136,0,0,0,0,0,0
0,2,5,0.0341762,-0.117205,1,0
0.130326,0,0,0,0,0,0
0,2,5,0.00176374,-0.128672,1,0
0.116,0,0,0,0,0,0
0,2,5,0.0229547,-0.0874294,1,0
0.106322,0,0,0,0,0,0
0,2,5,0.0012205,-0.224446,1,0
0.0755571,0,0,0,0,0,0
0,2,5,0.0185105,-0.0777505,1,0
0.0624701,0,0,0,0,0,0
0,2,5,0.0652893,-0.0680727,1,0
0.0245216,0,0,0,0,0,0
0,2,5,0.0762627,-0.0589445,1,0
0.0349946,0,0,0,0,0,0
0,2,5,0.0731293,-0.0618624,1,0
0.0306927,0,0,0,0,0,0
0,2,5,0.0711942,-0.104331,1,0
0.0263881,0,0,0,0,0,0
0,2,5,0.0608291,-0.0532845,1,0
0.050955,0,0,0,0,0,0
0,2,5,0.0392618,-0.0635545,1,0
0.0374812,0,0,0,0,0,0
0,2,5,0.0463224,-0.057675,1,0
0.0264243,0,0,0,0,0,0
0,2,5,0.0491284,-0.051818,1,0
0.0231874,0,0,0,0,0,0
0,2,5,0.0435365,-0.0413478,1,0
0.00306841,0,0,0,0,0,0
0,2,5,0.00609294,-0.00481762,1,0
0.000403387,0,0,0,0,0,0
0,2,5,0.000667134,-0.000224904,1,0
5.43698e-05,0,0,0,0,0,0
0,2,5,8.07079e-05,-5.7286e-05,1,0
2.08122e-05,0,0,0,0,0,0
0,2,5,3.21e-05,-2.06255e-05,1,0
1.13425,0,0,0,0,0,0
0,2,5,1.74943,-6.65109e-05,1,0
0.0479133,0,0,0,0,0,0
0,2,5,0.0739686,0,1,0
0.0686185,0,0,0,0,0,0
0,2,5,0.106553,0,1,0
1.44538,0,0,0,0,0,0
0,2,5,2.21237,-4.73428e-05,1,0
2.16765,0,0,0,0,0,0
0,2,5,3.52971,-0.000395333,1,0
4.09612,0,0,0,0,0,0
0,2,5,6.48621,-0.00151123,1,0
8.0232,0,0,0,0,0,0
0,2,5,11.6554,-0.00314558,1,0
14.4279,0,0,0,0,0,0
0,2,5,21.3946,-0.00284321,1,0
8.99836,0,0,0,0,0,0
0,2,5,13.5846,-0.00422186,1,0
18.5626,0,0,0,0,0,0
0,2,5,25.2951,-0.00313678,1,0
5.64406,0,0,0,0,0,0
0,2,5,7.46692,-0.00286534,1,0
15.9291,0,0,0,0,0,0
0,2,5,22.5101,-0.00484623,1,0
5.20914,0,0,0,0,0,0
0,2,5,7.51963,-0.00327841,1,0
3.4224,0,0,0,0,0,0
0,2,5,4.96188,-0.0541482,1,0
7.7645,0,0,0,0,0,0
0,2,5,9.06567,-0.00286973,1,0
2.97692,0,0,0,0,0,0
