# TBinMid=2.1515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   9.74545647E+17   9.43828942E+17   9.43828942E+17   7.41196685E+17   9.20977342E+17   9.20977342E+17
   2.00000000E-04   1.74261118E+09   1.68768582E+09   1.68768582E+09   1.32535365E+09   1.64682426E+09   1.64682426E+09
   4.00000000E-04   8.88844628E+08   8.60829134E+08   8.60829134E+08   6.76016248E+08   8.39987091E+08   8.39987091E+08
   6.00000000E-04   5.99402871E+08   5.80510292E+08   5.80510292E+08   4.55879540E+08   5.66455214E+08   5.66455214E+08
   8.00000000E-04   4.53191833E+08   4.38907679E+08   4.38907679E+08   3.44677835E+08   4.28281026E+08   4.28281026E+08
   1.00000000E-03   3.64811990E+08   3.53313480E+08   3.53313480E+08   2.77460002E+08   3.44759199E+08   3.44759199E+08
   1.20000000E-03   3.05547781E+08   2.95917221E+08   2.95917221E+08   2.32386244E+08   2.88752594E+08   2.88752594E+08
   1.40000000E-03   3.68755716E+08   4.18497689E+08   4.18497689E+08   2.69461861E+08   3.43673191E+08   3.43673191E+08
   1.60000000E-03   4.20686969E+08   5.67592550E+08   5.67592550E+08   2.98617920E+08   3.86727110E+08   3.86727110E+08
   1.80000000E-03   4.50801582E+08   6.62441047E+08   6.62441047E+08   3.14707255E+08   4.11196456E+08   4.11196456E+08
   2.00000000E-03   7.16996677E+08   8.53693665E+08   8.53693665E+08   5.14409592E+08   6.64538630E+08   6.64538630E+08
   2.20000000E-03   9.21901350E+08   1.21182973E+09   1.21182973E+09   6.60859805E+08   8.50161617E+08   8.50161617E+08
   2.40000000E-03   1.07577413E+09   1.57844412E+09   1.57844412E+09   7.67480106E+08   9.85209969E+08   9.85209969E+08
   2.60000000E-03   1.18891902E+09   1.85408733E+09   1.85408733E+09   8.45743646E+08   1.08426014E+09   1.08426014E+09
   2.80000000E-03   1.45843250E+09   2.16025007E+09   2.16025007E+09   1.11194898E+09   1.35166315E+09   1.35166315E+09
   3.00000000E-03   1.72126542E+09   2.42456307E+09   2.42456307E+09   1.38003213E+09   1.61567259E+09   1.61567259E+09
   3.20000000E-03   1.92945065E+09   2.63112184E+09   2.63112184E+09   1.59389164E+09   1.82524689E+09   1.82524689E+09
   3.40000000E-03   2.09805477E+09   2.85754002E+09   2.85754002E+09   1.76546172E+09   1.99243988E+09   1.99243988E+09
   3.60000000E-03   2.23750055E+09   3.14408175E+09   3.14408175E+09   1.90364112E+09   2.12623002E+09   2.12623002E+09
   3.80000000E-03   2.34915150E+09   3.37764665E+09   3.37764665E+09   2.01517055E+09   2.23341104E+09   2.23341104E+09
   4.00000000E-03   2.50463378E+09   3.60299772E+09   3.60299772E+09   2.22036381E+09   2.39799812E+09   2.39799812E+09
