# TBinMid=3.0515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   9.08996665E+17   7.38979247E+17   7.38979247E+17   7.06712889E+17   8.67783624E+17   8.67783624E+17
   2.00000000E-04   1.62540129E+09   1.32138859E+09   1.32138859E+09   1.26369225E+09   1.55170715E+09   1.55170715E+09
   4.00000000E-04   8.29059988E+08   6.73993810E+08   6.73993810E+08   6.44564938E+08   7.91471200E+08   7.91471200E+08
   6.00000000E-04   5.59086393E+08   4.54515685E+08   4.54515685E+08   4.34669978E+08   5.33737950E+08   5.33737950E+08
   8.00000000E-04   4.22709665E+08   3.43646663E+08   3.43646663E+08   3.28641876E+08   4.03544413E+08   4.03544413E+08
   1.00000000E-03   3.40274345E+08   2.76629925E+08   2.76629925E+08   2.64551318E+08   3.24846631E+08   3.24846631E+08
   1.20000000E-03   2.84996311E+08   2.31691014E+08   2.31691014E+08   2.21574593E+08   2.72074850E+08   2.72074850E+08
   1.40000000E-03   3.41042634E+08   3.39517891E+08   3.39517891E+08   2.54449916E+08   3.20804430E+08   3.20804430E+08
   1.60000000E-03   3.86710809E+08   4.67319270E+08   4.67319270E+08   2.80154143E+08   3.58801683E+08   3.58801683E+08
   1.80000000E-03   4.13035107E+08   5.48905408E+08   5.48905408E+08   2.94161855E+08   3.80226237E+08   3.80226237E+08
   2.00000000E-03   6.63209689E+08   7.24700136E+08   7.24700136E+08   4.74524999E+08   6.16749640E+08   6.16749640E+08
   2.20000000E-03   8.54198468E+08   1.03406348E+09   1.03406348E+09   6.06285692E+08   7.89545298E+08   7.89545298E+08
   2.40000000E-03   9.97107863E+08   1.34575746E+09   1.34575746E+09   7.02126581E+08   9.15274784E+08   9.15274784E+08
   2.60000000E-03   1.10220366E+09   1.58008490E+09   1.58008490E+09   7.72402201E+08   1.00750213E+09   1.00750213E+09
   2.80000000E-03   1.34868281E+09   1.84596955E+09   1.84596955E+09   1.00517905E+09   1.25006307E+09   1.25006307E+09
   3.00000000E-03   1.58738741E+09   2.07606900E+09   2.07606900E+09   1.23777229E+09   1.48764891E+09   1.48764891E+09
   3.20000000E-03   1.77636365E+09   2.25602995E+09   2.25602995E+09   1.42315708E+09   1.67611190E+09   1.67611190E+09
   3.40000000E-03   1.92902725E+09   2.44929326E+09   2.44929326E+09   1.57173515E+09   1.82633893E+09   1.82633893E+09
   3.60000000E-03   2.05460594E+09   2.68634372E+09   2.68634372E+09   1.69126105E+09   1.94643806E+09   1.94643806E+09
   3.80000000E-03   2.15504108E+09   2.87932466E+09   2.87932466E+09   1.78760765E+09   2.04254348E+09   2.04254348E+09
   4.00000000E-03   2.28965961E+09   3.06514211E+09   3.06514211E+09   1.95408465E+09   2.18276309E+09   2.18276309E+09
   4.20000000E-03   2.43691025E+09   3.23712807E+09   3.23712807E+09   2.15282606E+09   2.34117991E+09   2.34117991E+09
   4.40000000E-03   2.55939200E+09   3.37935777E+09   3.37935777E+09   2.32054042E+09   2.47354286E+09   2.47354286E+09
   4.60000000E-03   2.66130385E+09   3.49691372E+09   3.49691372E+09   2.46237718E+09   2.58424153E+09   2.58424153E+09
   4.80000000E-03   2.74602646E+09   3.59388430E+09   3.59388430E+09   2.58249260E+09   2.67681255E+09   2.67681255E+09
   5.00000000E-03   2.81630435E+09   3.67358562E+09   3.67358562E+09   2.68426953E+09   2.75412921E+09   2.75412921E+09
   5.20000000E-03   2.87438267E+09   3.73872790E+09   3.73872790E+09   2.77048255E+09   2.81854378E+09   2.81854378E+09
   5.40000000E-03   2.92204911E+09   3.79018296E+09   3.79018296E+09   2.84342332E+09   2.87199546E+09   2.87199546E+09
   5.60000000E-03   2.96071089E+09   3.82702316E+09   3.82702316E+09   2.90499696E+09   2.91609319E+09   2.91609319E+09
   5.80000000E-03   2.99190985E+09   3.85551356E+09   3.85551356E+09   2.97175489E+09   2.95572439E+09   2.95572439E+09
   6.00000000E-03   3.01654056E+09   3.87678310E+09   3.87678310E+09   3.04284654E+09   2.99136606E+09   2.99136606E+09
   6.20000000E-03   3.03563558E+09   3.89192693E+09   3.89192693E+09   3.10395191E+09   3.02045052E+09   3.02045052E+09
   6.40000000E-03   3.04995671E+09   3.90181178E+09   3.90181178E+09   3.15633942E+09   3.04385446E+09   3.04385446E+09
   6.60000000E-03   3.06015164E+09   3.90717315E+09   3.90717315E+09   3.20109402E+09   3.06232484E+09   3.06232484E+09
   6.80000000E-03   3.06677330E+09   3.90863763E+09   3.90863763E+09   3.23914756E+09   3.07650071E+09   3.07650071E+09
   7.00000000E-03   3.07029545E+09   3.90674097E+09   3.90674097E+09   3.27130359E+09   3.08693087E+09   3.08693087E+09
