# TBinMid=2.1515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   9.54373754E+17   7.95117637E+17   7.95117637E+17   7.07917987E+17   9.02416580E+17   9.02416580E+17
   2.00000000E-04   1.70654128E+09   1.42177115E+09   1.42177115E+09   1.26584712E+09   1.61363526E+09   1.61363526E+09
   4.00000000E-04   8.70446640E+08   7.25195421E+08   7.25195421E+08   6.45664061E+08   8.23058552E+08   8.23058552E+08
   6.00000000E-04   5.86995971E+08   4.89044096E+08   4.89044096E+08   4.35411184E+08   5.55039254E+08   5.55039254E+08
   8.00000000E-04   4.43811320E+08   3.69752633E+08   3.69752633E+08   3.29202281E+08   4.19649736E+08   4.19649736E+08
   1.00000000E-03   3.57260831E+08   2.97644803E+08   2.97644803E+08   2.65002435E+08   3.37811152E+08   3.37811152E+08
   1.20000000E-03   2.99223319E+08   2.49291996E+08   2.49291996E+08   2.21952426E+08   2.82933267E+08   2.82933267E+08
   1.40000000E-03   3.58342761E+08   3.52540359E+08   3.52540359E+08   2.59844413E+08   3.35470209E+08   3.35470209E+08
   1.60000000E-03   4.10078591E+08   4.83765355E+08   4.83765355E+08   2.91856164E+08   3.79687659E+08   3.79687659E+08
   1.80000000E-03   4.40198149E+08   5.67452741E+08   5.67452741E+08   3.09993250E+08   4.05047489E+08   4.05047489E+08
   2.00000000E-03   6.65065313E+08   7.30057180E+08   7.30057180E+08   4.72434509E+08   6.17552898E+08   6.17552898E+08
   2.20000000E-03   8.45484911E+08   1.03065592E+09   1.03065592E+09   5.97059485E+08   7.80518294E+08   7.80518294E+08
   2.40000000E-03   9.81283706E+08   1.35479325E+09   1.35479325E+09   6.87538653E+08   8.98834675E+08   8.98834675E+08
   2.60000000E-03   1.08094220E+09   1.59875075E+09   1.59875075E+09   7.53730655E+08   9.85393045E+08   9.85393045E+08
   2.80000000E-03   1.30830564E+09   1.86438351E+09   1.86438351E+09   9.66528052E+08   1.20794862E+09   1.20794862E+09
   3.00000000E-03   1.54479576E+09   2.10100236E+09   2.10100236E+09   1.19682269E+09   1.44298208E+09   1.44298208E+09
   3.20000000E-03   1.73213128E+09   2.28619887E+09   2.28619887E+09   1.38049129E+09   1.62953616E+09   1.62953616E+09
   3.40000000E-03   1.88341715E+09   2.47982712E+09   2.47982712E+09   1.52779911E+09   1.77834716E+09   1.77834716E+09
   3.60000000E-03   2.00934866E+09   2.74708549E+09   2.74708549E+09   1.64640001E+09   1.89741199E+09   1.89741199E+09
   3.80000000E-03   2.11021124E+09   2.96545996E+09   2.96545996E+09   1.74209143E+09   1.99278159E+09   1.99278159E+09
   4.00000000E-03   2.24221121E+09   3.17111846E+09   3.17111846E+09   1.90194456E+09   2.12862573E+09   2.12862573E+09
