# TBinMid=3.7515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   7.08564809E+17   5.17272863E+17   5.17272863E+17   5.77526542E+17   6.84823822E+17   6.84823822E+17
   2.00000000E-04   1.26700372E+09   9.24949466E+08   9.24949466E+08   1.03269068E+09   1.22455182E+09   1.22455182E+09
   4.00000000E-04   6.46254001E+08   4.71784166E+08   4.71784166E+08   5.26739170E+08   6.24600784E+08   6.24600784E+08
   6.00000000E-04   4.35809017E+08   3.18153224E+08   3.18153224E+08   3.55212779E+08   4.21206915E+08   4.21206915E+08
   8.00000000E-04   3.29503072E+08   2.40546800E+08   2.40546800E+08   2.68566499E+08   3.18462828E+08   3.18462828E+08
   1.00000000E-03   2.65244566E+08   1.93636227E+08   1.93636227E+08   2.16191625E+08   2.56357351E+08   2.56357351E+08
   1.20000000E-03   2.22155223E+08   1.62179756E+08   1.62179756E+08   1.81070999E+08   2.14711748E+08   2.14711748E+08
   1.40000000E-03   2.77632281E+08   2.29449477E+08   2.29449477E+08   2.16845842E+08   2.65141803E+08   2.65141803E+08
   1.60000000E-03   3.20773679E+08   3.01868624E+08   3.01868624E+08   2.44064751E+08   3.03485009E+08   3.03485009E+08
   1.80000000E-03   3.46208961E+08   3.47617718E+08   3.47617718E+08   2.59571918E+08   3.25853498E+08   3.25853498E+08
   2.00000000E-03   5.55953923E+08   4.78720703E+08   4.78720703E+08   4.16223289E+08   5.26020527E+08   5.26020527E+08
   2.20000000E-03   7.12165710E+08   6.96119284E+08   6.96119284E+08   5.28664073E+08   6.69745103E+08   6.69745103E+08
   2.40000000E-03   8.28235147E+08   9.09189494E+08   9.09189494E+08   6.10370103E+08   7.74227341E+08   7.74227341E+08
   2.60000000E-03   9.13479469E+08   1.06943913E+09   1.06943913E+09   6.70208628E+08   8.50785073E+08   8.50785073E+08
   2.80000000E-03   1.11347999E+09   1.26265818E+09   1.26265818E+09   8.57796415E+08   1.04812362E+09   1.04812362E+09
