# TBinMid=0.5515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   7.43229596E+09   1.18193153E+10   1.18193153E+10   1.13200706E+10   8.18360591E+09   8.18360591E+09
   9.80000000E-03   7.39098772E+09   1.16702005E+10   1.16702005E+10   1.12865519E+10   8.14805071E+09   8.14805071E+09
   1.00000000E-02   7.34914653E+09   1.15252268E+10   1.15252268E+10   1.12504635E+10   8.11131496E+09   8.11131496E+09
   1.02000000E-02   7.30688860E+09   1.13842215E+10   1.13842215E+10   1.12121084E+10   8.07356916E+09   8.07356916E+09
   1.04000000E-02   7.26431635E+09   1.12470211E+10   1.12470211E+10   1.11717577E+10   8.03496494E+09   8.03496494E+09
   1.06000000E-02   7.22152007E+09   1.11134706E+10   1.11134706E+10   1.11296540E+10   7.99563724E+09   7.99563724E+09
   1.08000000E-02   7.17857938E+09   1.09834233E+10   1.09834233E+10   1.10860149E+10   7.95570626E+09   7.95570626E+09
   1.10000000E-02   7.13556447E+09   1.08567401E+10   1.08567401E+10   1.10410357E+10   7.91527913E+09   7.91527913E+09
   1.12000000E-02   7.09253722E+09   1.07332892E+10   1.07332892E+10   1.09948918E+10   7.87445138E+09   7.87445138E+09
   1.14000000E-02   7.04955213E+09   1.06129454E+10   1.06129454E+10   1.09477409E+10   7.83330825E+09   7.83330825E+09
   1.16000000E-02   7.00665720E+09   1.04955897E+10   1.04955897E+10   1.08997247E+10   7.79192581E+09   7.79192581E+09
   1.18000000E-02   6.96389462E+09   1.03811093E+10   1.03811093E+10   1.08509712E+10   7.75037194E+09   7.75037194E+09
   1.20000000E-02   6.92130148E+09   1.02693970E+10   1.02693970E+10   1.08015952E+10   7.70870727E+09   7.70870727E+09
   1.22000000E-02   6.84709928E+09   1.01437226E+10   1.01437226E+10   1.06875089E+10   7.62703306E+09   7.62703306E+09
   1.24000000E-02   6.74726691E+09   1.00070995E+10   1.00070995E+10   1.05207932E+10   7.51286635E+09   7.51286635E+09
   1.26000000E-02   6.65043684E+09   9.87438869E+09   9.87438869E+09   1.03592810E+10   7.40218461E+09   7.40218461E+09
   1.28000000E-02   6.55647350E+09   9.74541998E+09   9.74541998E+09   1.02027309E+10   7.29482882E+09   7.29482882E+09
   1.30000000E-02   6.46524945E+09   9.62003303E+09   9.62003303E+09   1.00509167E+10   7.19064953E+09   7.19064953E+09
   1.32000000E-02   6.37664474E+09   9.49807665E+09   9.49807665E+09   9.90362543E+09   7.08950616E+09   7.08950616E+09
   1.34000000E-02   6.29054639E+09   9.37940817E+09   9.37940817E+09   9.76065694E+09   6.99126636E+09   6.99126636E+09
   1.36000000E-02   6.20684787E+09   9.26389282E+09   9.26389282E+09   9.62182264E+09   6.89580541E+09   6.89580541E+09
   1.38000000E-02   6.12221398E+09   9.08018851E+09   9.08018851E+09   9.48694484E+09   6.80300567E+09   6.80300567E+09
   1.40000000E-02   6.03930809E+09   8.88890176E+09   8.88890176E+09   9.35585589E+09   6.71275609E+09   6.71275609E+09
   1.42000000E-02   5.95867388E+09   8.70386442E+09   8.70386442E+09   9.22839751E+09   6.62495175E+09   6.62495175E+09
   1.44000000E-02   5.88021847E+09   8.52479235E+09   8.52479235E+09   9.10442014E+09   6.53949343E+09   6.53949343E+09
   1.46000000E-02   5.80385396E+09   8.35141795E+09   8.35141795E+09   8.98378233E+09   6.45628727E+09   6.45628727E+09
   1.48000000E-02   5.72949716E+09   8.18348899E+09   8.18348899E+09   8.86635025E+09   6.37524434E+09   6.37524434E+09
   1.50000000E-02   5.65706927E+09   8.02076751E+09   8.02076751E+09   8.75199710E+09   6.29628038E+09   6.29628038E+09
   1.52000000E-02   5.58649553E+09   7.86302891E+09   7.86302891E+09   8.64060272E+09   6.21931549E+09   6.21931549E+09
   1.54000000E-02   5.51770506E+09   7.71006094E+09   7.71006094E+09   8.53205315E+09   6.14427380E+09   6.14427380E+09
   1.56000000E-02   5.45063054E+09   7.56166298E+09   7.56166298E+09   8.42624020E+09   6.07108329E+09   6.07108329E+09
   1.58000000E-02   5.38520800E+09   7.41764518E+09   7.41764518E+09   8.32306113E+09   5.99967548E+09   5.99967548E+09
   1.60000000E-02   5.32137664E+09   7.27782780E+09   7.27782780E+09   8.22241828E+09   5.92998529E+09   5.92998529E+09
   1.62000000E-02   5.25907863E+09   7.14204054E+09   7.14204054E+09   8.12421878E+09   5.86195074E+09   5.86195074E+09
   1.64000000E-02   5.19825889E+09   7.01012196E+09   7.01012196E+09   8.02837425E+09   5.79551284E+09   5.79551284E+09
   1.66000000E-02   5.13886499E+09   6.88191889E+09   6.88191889E+09   7.93480052E+09   5.73061539E+09   5.73061539E+09
   1.68000000E-02   5.08084693E+09   6.75728592E+09   6.75728592E+09   7.84341743E+09   5.66720480E+09   5.66720480E+09
   1.70000000E-02   5.02415706E+09   6.63608495E+09   6.63608495E+09   7.75414851E+09   5.60522996E+09   5.60522996E+09
   1.72000000E-02   4.96874990E+09   6.51818471E+09   6.51818471E+09   7.66692086E+09   5.54464208E+09   5.54464208E+09
   1.74000000E-02   4.91458204E+09   6.40346036E+09   6.40346036E+09   7.58166488E+09   5.48539458E+09   5.48539458E+09
   1.76000000E-02   4.86161199E+09   6.29179311E+09   6.29179311E+09   7.49831412E+09   5.42744294E+09   5.42744294E+09
   1.78000000E-02   4.79926273E+09   6.17756185E+09   6.17756185E+09   7.39799533E+09   5.35808532E+09   5.35808532E+09
   1.80000000E-02   4.70627685E+09   6.04956717E+09   6.04956717E+09   7.24272065E+09   5.25177693E+09   5.25177693E+09
   1.82000000E-02   4.61576805E+09   5.92503424E+09   5.92503424E+09   7.09165720E+09   5.14831615E+09   5.14831615E+09
   1.84000000E-02   4.52764618E+09   5.80383612E+09   5.80383612E+09   6.94465039E+09   5.04759909E+09   5.04759909E+09
   1.86000000E-02   4.44182528E+09   5.68585184E+09   5.68585184E+09   6.80155284E+09   4.94952666E+09   4.94952666E+09
   1.88000000E-02   4.35822332E+09   5.57096595E+09   5.57096595E+09   6.66222395E+09   4.85400431E+09   4.85400431E+09
   1.90000000E-02   4.27676200E+09   5.45906831E+09   5.45906831E+09   6.52652954E+09   4.76094183E+09   4.76094183E+09
   1.92000000E-02   4.19736653E+09   5.35005373E+09   5.35005373E+09   6.39434152E+09   4.67025303E+09   4.67025303E+09
   1.94000000E-02   4.11996547E+09   5.24382171E+09   5.24382171E+09   6.26553750E+09   4.58185558E+09   4.58185558E+09
   1.96000000E-02   4.04449050E+09   5.14027623E+09   5.14027623E+09   6.14000052E+09   4.49567078E+09   4.49567078E+09
   1.98000000E-02   3.97087629E+09   5.03932543E+09   5.03932543E+09   6.01761874E+09   4.41162336E+09   4.41162336E+09
   2.00000000E-02   3.89906033E+09   4.94088149E+09   4.94088149E+09   5.89828518E+09   4.32964133E+09   4.32964133E+09
   2.02000000E-02   3.82898278E+09   4.84486032E+09   4.84486032E+09   5.78189748E+09   4.24965575E+09   4.24965575E+09
   2.04000000E-02   3.76058635E+09   4.75118144E+09   4.75118144E+09   5.66835762E+09   4.17160063E+09   4.17160063E+09
   2.06000000E-02   3.69381613E+09   4.65976773E+09   4.65976773E+09   5.55757172E+09   4.09541275E+09   4.09541275E+09
   2.08000000E-02   3.62861951E+09   4.57054532E+09   4.57054532E+09   5.44944983E+09   4.02103150E+09   4.02103150E+09
   2.10000000E-02   3.56494605E+09   4.48344339E+09   4.48344339E+09   5.34390571E+09   3.94839881E+09   3.94839881E+09
   2.12000000E-02   3.50274734E+09   4.39839401E+09   4.39839401E+09   5.24085668E+09   3.87745895E+09   3.87745895E+09
   2.14000000E-02   3.44197696E+09   4.31533203E+09   4.31533203E+09   5.14022341E+09   3.80815847E+09   3.80815847E+09
   2.16000000E-02   3.38259033E+09   4.23419491E+09   4.23419491E+09   5.04192978E+09   3.74044604E+09   3.74044604E+09
   2.18000000E-02   3.32454465E+09   4.15492261E+09   4.15492261E+09   4.94590269E+09   3.67427239E+09   3.67427239E+09
   2.20000000E-02   3.26770208E+09   4.07532815E+09   4.07532815E+09   4.85207195E+09   3.60959020E+09   3.60959020E+09
   2.22000000E-02   3.21195169E+09   3.99378370E+09   3.99378370E+09   4.76037012E+09   3.54635399E+09   3.54635399E+09
   2.24000000E-02   3.15743072E+09   3.91409387E+09   3.91409387E+09   4.67073239E+09   3.48452002E+09   3.48452002E+09
   2.26000000E-02   3.10410240E+09   3.83620240E+09   3.83620240E+09   4.58309643E+09   3.42404627E+09   3.42404627E+09
   2.28000000E-02   3.05193138E+09   3.76005521E+09   3.76005521E+09   4.49740232E+09   3.36489230E+09   3.36489230E+09
   2.30000000E-02   3.00088362E+09   3.68560023E+09   3.68560023E+09   4.41359240E+09   3.30701920E+09   3.30701920E+09
   2.32000000E-02   2.95092637E+09   3.61278740E+09   3.61278740E+09   4.33161118E+09   3.25038951E+09   3.25038951E+09
   2.34000000E-02   2.90202809E+09   3.54156851E+09   3.54156851E+09   4.25140523E+09   3.19496716E+09   3.19496716E+09
   2.36000000E-02   2.85415839E+09   3.47189713E+09   3.47189713E+09   4.17292312E+09   3.14071744E+09   3.14071744E+09
   2.38000000E-02   2.80728799E+09   3.40372856E+09   3.40372856E+09   4.09611528E+09   3.08760686E+09   3.08760686E+09
   2.40000000E-02   2.76138869E+09   3.33701972E+09   3.33701972E+09   4.02093397E+09   3.03560318E+09   3.03560318E+09
   2.42000000E-02   2.71643328E+09   3.27172908E+09   3.27172908E+09   3.94733315E+09   2.98467531E+09   2.98467531E+09
   2.44000000E-02   2.67239553E+09   3.20781664E+09   3.20781664E+09   3.87526844E+09   2.93479325E+09   2.93479325E+09
   2.46000000E-02   2.62925013E+09   3.14524377E+09   3.14524377E+09   3.80469705E+09   2.88592809E+09   2.88592809E+09
   2.48000000E-02   2.58697265E+09   3.08397326E+09   3.08397326E+09   3.73557767E+09   2.83805192E+09   2.83805192E+09
   2.50000000E-02   2.54553952E+09   3.02396917E+09   3.02396917E+09   3.66787046E+09   2.79113779E+09   2.79113779E+09
   2.52000000E-02   2.50492800E+09   2.96519682E+09   2.96519682E+09   3.60153696E+09   2.74515972E+09   2.74515972E+09
   2.54000000E-02   2.46511609E+09   2.90762275E+09   2.90762275E+09   3.53654002E+09   2.70009257E+09   2.70009257E+09
   2.56000000E-02   2.42608256E+09   2.85121461E+09   2.85121461E+09   3.47284378E+09   2.65591210E+09   2.65591210E+09
   2.58000000E-02   2.38780691E+09   2.79594119E+09   2.79594119E+09   3.41041358E+09   2.61259487E+09   2.61259487E+09
   2.60000000E-02   2.35026929E+09   2.74177231E+09   2.74177231E+09   3.34921594E+09   2.57011821E+09   2.57011821E+09
