# TBinMid=0.0765 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.19700991E+17   7.26102119E+17   7.26102119E+17   2.51679390E+17   2.88953928E+17   2.88953928E+17
   2.00000000E-04   5.71665908E+08   1.29836265E+09   1.29836265E+09   4.50034661E+08   5.16686260E+08   5.16686260E+08
   4.00000000E-04   2.91586658E+08   6.62249090E+08   6.62249090E+08   2.29546840E+08   2.63543475E+08   2.63543475E+08
   6.00000000E-04   1.96634906E+08   4.46595494E+08   4.46595494E+08   1.54797623E+08   1.77723654E+08   1.77723654E+08
   8.00000000E-04   1.48670181E+08   3.37658427E+08   3.37658427E+08   1.17038175E+08   1.34371910E+08   1.34371910E+08
   1.00000000E-03   1.19677057E+08   2.71809493E+08   2.71809493E+08   9.42138107E+07   1.08167183E+08   1.08167183E+08
   1.20000000E-03   1.00235355E+08   2.27653668E+08   2.27653668E+08   7.89086479E+07   9.05952756E+07   9.05952756E+07
   1.40000000E-03   1.32035411E+08   3.24676221E+08   3.24676221E+08   1.21978578E+08   1.22660401E+08   1.22660401E+08
   1.60000000E-03   1.54191531E+08   4.26894461E+08   4.26894461E+08   1.50192956E+08   1.43319581E+08   1.43319581E+08
   1.80000000E-03   1.74990270E+08   4.95409640E+08   4.95409640E+08   1.86886853E+08   1.66105128E+08   1.66105128E+08
   2.00000000E-03   2.35013878E+08   5.63775339E+08   5.63775339E+08   3.30227734E+08   2.45350948E+08   2.45350948E+08
   2.20000000E-03   2.99958153E+08   1.10609806E+09   1.10609806E+09   4.33455733E+08   3.01875954E+08   3.01875954E+08
   2.40000000E-03   3.51694948E+08   1.60984847E+09   1.60984847E+09   5.08843745E+08   3.42688293E+08   3.42688293E+08
   2.60000000E-03   3.89799461E+08   1.99204297E+09   1.99204297E+09   5.64389887E+08   3.72344848E+08   3.72344848E+08
   2.80000000E-03   4.81891641E+08   2.31820908E+09   2.31820908E+09   8.23630122E+08   4.95082064E+08   4.95082064E+08
   3.00000000E-03   5.55868067E+08   2.57169581E+09   2.57169581E+09   1.03545623E+09   5.94825010E+08   5.94825010E+08
   3.20000000E-03   6.14175338E+08   2.76879950E+09   2.76879950E+09   1.20465934E+09   6.74065182E+08   6.74065182E+08
   3.40000000E-03   6.68374767E+08   3.09980252E+09   3.09980252E+09   1.34060478E+09   7.37338254E+08   7.37338254E+08
   3.60000000E-03   7.16275151E+08   3.46864798E+09   3.46864798E+09   1.45027786E+09   7.88023241E+08   7.88023241E+08
   3.80000000E-03   7.54776778E+08   3.77094668E+09   3.77094668E+09   1.53897146E+09   8.28677390E+08   8.28677390E+08
   4.00000000E-03   8.37502336E+08   4.04645372E+09   4.04645372E+09   1.74026106E+09   9.32166228E+08   9.32166228E+08
   4.20000000E-03   9.13814922E+08   4.27784700E+09   4.27784700E+09   1.92711476E+09   1.02873533E+09   1.02873533E+09
   4.40000000E-03   9.78029391E+08   4.46936943E+09   4.46936943E+09   2.08500230E+09   1.11026493E+09   1.11026493E+09
   4.60000000E-03   1.03216276E+09   4.62782382E+09   4.62782382E+09   2.21872095E+09   1.17924928E+09   1.17924928E+09
   4.80000000E-03   1.07784214E+09   4.75868303E+09   4.75868303E+09   2.33214368E+09   1.23770171E+09   1.23770171E+09
   5.00000000E-03   1.11639113E+09   4.86638673E+09   4.86638673E+09   2.42842358E+09   1.28726106E+09   1.28726106E+09
   5.20000000E-03   1.14889473E+09   4.95456386E+09   4.95456386E+09   2.51014744E+09   1.32927160E+09   1.32927160E+09
   5.40000000E-03   1.17197013E+09   4.93200654E+09   4.93200654E+09   2.57945241E+09   1.36484375E+09   1.36484375E+09
   5.60000000E-03   1.18888557E+09   4.85675993E+09   4.85675993E+09   2.63811565E+09   1.39490071E+09   1.39490071E+09
   5.80000000E-03   1.22694169E+09   4.79598508E+09   4.79598508E+09   2.73673300E+09   1.45075039E+09   1.45075039E+09
   6.00000000E-03   1.26177012E+09   4.73675814E+09   4.73675814E+09   2.82640262E+09   1.50185786E+09   1.50185786E+09
   6.20000000E-03   1.29194836E+09   4.67815850E+09   4.67815850E+09   2.90454643E+09   1.54651152E+09   1.54651152E+09
   6.40000000E-03   1.31806024E+09   4.62032385E+09   4.62032385E+09   2.97259815E+09   1.58551062E+09   1.58551062E+09
   6.60000000E-03   1.34060555E+09   4.56335759E+09   4.56335759E+09   3.03178612E+09   1.61954015E+09   1.61954015E+09
   6.80000000E-03   1.36001399E+09   4.50733592E+09   4.50733592E+09   3.08316712E+09   1.64918962E+09   1.64918962E+09
   7.00000000E-03   1.37665641E+09   4.45231342E+09   4.45231342E+09   3.12765395E+09   1.67496845E+09   1.67496845E+09
   7.20000000E-03   1.39085410E+09   4.39832746E+09   4.39832746E+09   3.16603797E+09   1.69731842E+09   1.69731842E+09
   7.40000000E-03   1.40288634E+09   4.34540173E+09   4.34540173E+09   3.19900763E+09   1.71662401E+09   1.71662401E+09
   7.60000000E-03   1.41299669E+09   4.29354903E+09   4.29354903E+09   3.22716385E+09   1.73322094E+09   1.73322094E+09
   7.80000000E-03   1.42139823E+09   4.24277350E+09   4.24277350E+09   3.25103271E+09   1.74740326E+09   1.74740326E+09
   8.00000000E-03   1.42827789E+09   4.19307248E+09   4.19307248E+09   3.27107617E+09   1.75942927E+09   1.75942927E+09
   8.20000000E-03   1.43380012E+09   4.14443790E+09   4.14443790E+09   3.28770095E+09   1.76952647E+09   1.76952647E+09
   8.40000000E-03   1.43032142E+09   4.09278632E+09   4.09278632E+09   3.26156505E+09   1.76249284E+09   1.76249284E+09
   8.60000000E-03   1.42145249E+09   3.97868679E+09   3.97868679E+09   3.22526058E+09   1.75102781E+09   1.75102781E+09
   8.80000000E-03   1.41068407E+09   3.83157085E+09   3.83157085E+09   3.18971781E+09   1.73942059E+09   1.73942059E+09
   9.00000000E-03   1.39992098E+09   3.69223915E+09   3.69223915E+09   3.15492498E+09   1.72770982E+09   1.72770982E+09
   9.20000000E-03   1.38918322E+09   3.56013044E+09   3.56013044E+09   3.12086889E+09   1.71592888E+09   1.71592888E+09
   9.40000000E-03   1.37848782E+09   3.43473465E+09   3.43473465E+09   3.08753517E+09   1.70410664E+09   1.70410664E+09
   9.60000000E-03   1.36784921E+09   3.31558721E+09   3.31558721E+09   3.05490865E+09   1.69226806E+09   1.69226806E+09
   9.80000000E-03   1.35727963E+09   3.20226422E+09   3.20226422E+09   3.02297356E+09   1.68043470E+09   1.68043470E+09
   1.00000000E-02   1.34678940E+09   3.09437814E+09   3.09437814E+09   2.99171378E+09   1.66862518E+09   1.66862518E+09
   1.02000000E-02   1.33638719E+09   2.99157406E+09   2.99157406E+09   2.96111296E+09   1.65685555E+09   1.65685555E+09
