# TBinMid=-0.0435 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   2.61177167E+15   5.37768543E+16   5.37768543E+16   1.23633610E+14   1.64658130E+14   1.64658130E+14
   2.00000000E-04   4.67017889E+06   9.61598340E+07   9.61598340E+07   2.21072570E+05   2.94429613E+05   2.94429613E+05
   4.00000000E-04   2.38209387E+06   4.90477467E+07   4.90477467E+07   1.12761337E+05   1.50178183E+05   1.50178183E+05
   6.00000000E-04   1.60639313E+06   3.30759272E+07   3.30759272E+07   7.60419391E+04   1.01274431E+05   1.01274431E+05
   8.00000000E-04   1.21454915E+06   2.50077882E+07   2.50077882E+07   5.74931943E+04   7.65707792E+04   7.65707792E+04
   1.00000000E-03   9.77692139E+05   2.01308592E+07   2.01308592E+07   4.62810781E+04   6.16382209E+04   6.16382209E+04
   1.20000000E-03   8.18864709E+05   1.68605735E+07   1.68605735E+07   3.87626535E+04   5.16250074E+04   5.16250074E+04
   1.40000000E-03   1.06355633E+06   2.21629688E+07   2.21629688E+07   5.82784995E+04   5.92873644E+04   5.92873644E+04
   1.60000000E-03   1.34705185E+06   2.83597769E+07   2.83597769E+07   7.10450185E+04   6.39071067E+04   6.39071067E+04
   1.80000000E-03   1.52359210E+06   3.22393009E+07   3.22393009E+07   8.13424407E+04   6.65833850E+04   6.65833850E+04
   2.00000000E-03   1.63199591E+06   3.46745824E+07   3.46745824E+07   1.03222590E+05   6.99390677E+04   6.99390677E+04
   2.20000000E-03   2.10092548E+06   4.50455146E+07   4.50455146E+07   1.18521738E+05   7.18162288E+04   7.18162288E+04
   2.40000000E-03   2.52347811E+06   5.43929573E+07   5.43929573E+07   1.29300938E+05   7.27232280E+04   7.27232280E+04
   2.60000000E-03   2.83684080E+06   6.13337776E+07   6.13337776E+07   1.36894733E+05   7.29811972E+04   7.29811972E+04
   2.80000000E-03   3.06722097E+06   6.65154059E+07   6.65154059E+07   1.47657039E+05   7.15129279E+04   7.15129279E+04
   3.00000000E-03   3.23888751E+06   7.03900665E+07   7.03900665E+07   1.55829951E+05   6.99594220E+04   6.99594220E+04
   3.20000000E-03   3.36632851E+06   7.32774718E+07   7.32774718E+07   1.61890746E+05   6.84055681E+04   6.84055681E+04
   3.40000000E-03   3.78509553E+06   8.25677744E+07   8.25677744E+07   1.66336679E+05   6.68736426E+04   6.68736426E+04
   3.60000000E-03   4.31094151E+06   9.42065384E+07   9.42065384E+07   1.69534318E+05   6.53773703E+04   6.53773703E+04
   3.80000000E-03   4.74371987E+06   1.03788841E+08   1.03788841E+08   1.71758077E+05   6.39249141E+04   6.39249141E+04
   4.00000000E-03   5.09995627E+06   1.11703628E+08   1.11703628E+08   1.65691436E+05   5.98866577E+04   5.98866577E+04
   4.20000000E-03   5.39453071E+06   1.18255505E+08   1.18255505E+08   1.59039956E+05   5.59061631E+04   5.59061631E+04
   4.40000000E-03   5.63845633E+06   1.23684517E+08   1.23684517E+08   1.52938145E+05   5.23376637E+04   5.23376637E+04
   4.60000000E-03   5.84037002E+06   1.28181973E+08   1.28181973E+08   1.47318987E+05   4.91231565E+04   4.91231565E+04
   4.80000000E-03   6.00722061E+06   1.31901812E+08   1.31901812E+08   1.42126062E+05   4.62148274E+04   4.62148274E+04
   5.00000000E-03   6.14464547E+06   1.34968930E+08   1.34968930E+08   1.37311518E+05   4.35729322E+04   4.35729322E+04
   5.20000000E-03   6.25725287E+06   1.37485433E+08   1.37485433E+08   1.32834491E+05   4.11641809E+04   4.11641809E+04
   5.40000000E-03   6.12854082E+06   1.34685319E+08   1.34685319E+08   1.28659866E+05   3.89604932E+04   3.89604932E+04
   5.60000000E-03   5.89019943E+06   1.29468360E+08   1.29468360E+08   1.24757292E+05   3.69380294E+04   3.69380294E+04
   5.80000000E-03   5.66950140E+06   1.24625261E+08   1.24625261E+08   1.15263588E+05   3.41364129E+04   3.41364129E+04
   6.00000000E-03   5.46413758E+06   1.20117469E+08   1.20117469E+08   1.06096780E+05   3.14949607E+04   3.14949607E+04
   6.20000000E-03   5.27254288E+06   1.15911725E+08   1.15911725E+08   9.76903573E+04   2.90716406E+04   2.90716406E+04
   6.40000000E-03   5.09339446E+06   1.11979020E+08   1.11979020E+08   8.99626387E+04   2.68430671E+04   2.68430671E+04
   6.60000000E-03   4.92553267E+06   1.08293926E+08   1.08293926E+08   8.28427730E+04   2.47889521E+04   2.47889521E+04
   6.80000000E-03   4.76793679E+06   1.04834058E+08   1.04834058E+08   7.62690407E+04   2.28916191E+04   2.28916191E+04
   7.00000000E-03   4.61970479E+06   1.01579633E+08   1.01579633E+08   7.01874588E+04   2.11356044E+04   2.11356044E+04
   7.20000000E-03   4.48003674E+06   9.85131090E+07   9.85131090E+07   6.45506319E+04   1.95073293E+04   1.95073293E+04
