# TBinMid=-0.0435 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   1.14497842E+08   3.30843236E+03   3.30843236E+03   3.29685686E+04   3.30843236E+03   3.30843236E+03
   9.80000000E-03   1.06559421E+08   3.22121508E+03   3.22121508E+03   3.00410358E+04   3.22121508E+03   3.22121508E+03
   1.00000000E-02   9.90494470E+07   3.13787651E+03   3.13787651E+03   2.72752461E+04   3.13787651E+03   3.13787651E+03
   1.02000000E-02   9.19384111E+07   3.05817334E+03   3.05817334E+03   2.46599515E+04   3.05817334E+03   3.05817334E+03
   1.04000000E-02   8.51993194E+07   2.98188185E+03   2.98188185E+03   2.21848686E+04   2.98188185E+03   2.98188185E+03
   1.06000000E-02   7.88074388E+07   2.90879597E+03   2.90879597E+03   1.98405798E+04   2.90879597E+03   2.90879597E+03
   1.08000000E-02   7.27400707E+07   2.83872565E+03   2.83872565E+03   1.76184465E+04   2.83872565E+03   2.83872565E+03
   1.10000000E-02   6.69763515E+07   2.77149526E+03   2.77149526E+03   1.55105326E+04   2.77149526E+03   2.77149526E+03
   1.12000000E-02   6.14970759E+07   2.70694234E+03   2.70694234E+03   1.35095366E+04   2.70694234E+03   2.70694234E+03
   1.14000000E-02   5.62845395E+07   2.64491635E+03   2.64491635E+03   1.16087309E+04   2.64491635E+03   2.64491635E+03
   1.16000000E-02   5.13223993E+07   2.58527764E+03   2.58527764E+03   9.80190835E+03   2.58527764E+03   2.58527764E+03
   1.18000000E-02   4.65955485E+07   2.52789647E+03   2.52789647E+03   8.08333433E+03   2.52789647E+03   2.52789647E+03
   1.20000000E-02   4.20900053E+07   2.47265217E+03   2.47265217E+03   6.44770390E+03   2.47265217E+03   2.47265217E+03
   1.22000000E-02   3.77928126E+07   2.40432135E+03   2.40432135E+03   5.50163739E+03   2.40432135E+03   2.40432135E+03
   1.24000000E-02   3.36919492E+07   2.32421636E+03   2.32421636E+03   5.18328944E+03   2.32421636E+03   2.32421636E+03
   1.26000000E-02   2.97762484E+07   2.24730512E+03   2.24730512E+03   4.87866341E+03   2.24730512E+03   2.24730512E+03
   1.28000000E-02   2.60353262E+07   2.17341776E+03   2.17341776E+03   4.58700397E+03   2.17341776E+03   2.17341776E+03
   1.30000000E-02   2.24595156E+07   2.10239576E+03   2.10239576E+03   4.30760743E+03   2.10239576E+03   2.10239576E+03
   1.32000000E-02   1.90398075E+07   2.03409109E+03   2.03409109E+03   4.03981746E+03   2.03409109E+03   2.03409109E+03
   1.34000000E-02   1.57677979E+07   1.96836533E+03   1.96836533E+03   3.78302135E+03   1.96836533E+03   1.96836533E+03
   1.36000000E-02   1.26356387E+07   1.90508894E+03   1.90508894E+03   3.53664647E+03   1.90508894E+03   1.90508894E+03
   1.38000000E-02   1.16148901E+07   1.84414056E+03   1.84414056E+03   3.30015719E+03   1.84414056E+03   1.84414056E+03
   1.40000000E-02   1.10935694E+07   1.78540642E+03   1.78540642E+03   3.07305200E+03   1.78540642E+03   1.78540642E+03
   1.42000000E-02   1.05919040E+07   1.72877973E+03   1.72877973E+03   2.85486090E+03   1.72877973E+03   1.72877973E+03
   1.44000000E-02   1.01089378E+07   1.67416018E+03   1.67416018E+03   2.64514304E+03   1.67416018E+03   1.67416018E+03
   1.46000000E-02   9.64377280E+06   1.62145348E+03   1.62145348E+03   2.44348456E+03   1.62145348E+03   1.62145348E+03
   1.48000000E-02   9.19556458E+06   1.57057090E+03   1.57057090E+03   2.24949663E+03   1.57057090E+03   1.57057090E+03
   1.50000000E-02   8.76351875E+06   1.52142888E+03   1.52142888E+03   2.06281361E+03   1.52142888E+03   1.52142888E+03
   1.52000000E-02   8.34688726E+06   1.47394870E+03   1.47394870E+03   1.88309142E+03   1.47394870E+03   1.47394870E+03
   1.54000000E-02   7.94496518E+06   1.42805609E+03   1.42805609E+03   1.71000599E+03   1.42805609E+03   1.42805609E+03
   1.56000000E-02   7.55708770E+06   1.38368096E+03   1.38368096E+03   1.54325192E+03   1.38368096E+03   1.38368096E+03
   1.58000000E-02   7.18262744E+06   1.34075712E+03   1.34075712E+03   1.38254115E+03   1.34075712E+03   1.34075712E+03
   1.60000000E-02   6.82099187E+06   1.29922200E+03   1.29922200E+03   1.22760180E+03   1.29922200E+03   1.29922200E+03
   1.62000000E-02   6.47162102E+06   1.25901642E+03   1.25901642E+03   1.07817707E+03   1.25901642E+03   1.25901642E+03
   1.64000000E-02   6.13398533E+06   1.22008436E+03   1.22008436E+03   9.34024274E+02   1.22008436E+03   1.22008436E+03
   1.66000000E-02   5.80758365E+06   1.18237279E+03   1.18237279E+03   7.94913876E+02   1.18237279E+03   1.18237279E+03
   1.68000000E-02   5.49194144E+06   1.14583143E+03   1.14583143E+03   6.60628660E+02   1.14583143E+03   1.14583143E+03
   1.70000000E-02   5.18660907E+06   1.11041260E+03   1.11041260E+03   5.30962935E+02   1.11041260E+03   1.11041260E+03
   1.72000000E-02   4.89116023E+06   1.07607108E+03   1.07607108E+03   4.05721804E+02   1.07607108E+03   1.07607108E+03
   1.74000000E-02   4.60519050E+06   1.04276393E+03   1.04276393E+03   2.84720486E+02   1.04276393E+03   1.04276393E+03
   1.76000000E-02   4.32831602E+06   1.01045033E+03   1.01045033E+03   1.67783694E+02   1.01045033E+03   1.01045033E+03
   1.78000000E-02   4.06017218E+06   9.80152245E+02   9.80152245E+02   7.70999713E+01   9.80152245E+02   9.80152245E+02
   1.80000000E-02   3.80041254E+06   9.54751387E+02   9.54751387E+02   7.40135066E+01   9.54751387E+02   9.54751387E+02
   1.82000000E-02   3.54870767E+06   9.30067365E+02   9.30067365E+02   7.10192448E+01   9.30067365E+02   9.30067365E+02
   1.84000000E-02   3.30474419E+06   9.06073376E+02   9.06073376E+02   6.81136522E+01   9.06073376E+02   9.06073376E+02
   1.86000000E-02   3.06822385E+06   8.82743879E+02   8.82743879E+02   6.52933644E+01   8.82743879E+02   8.82743879E+02
   1.88000000E-02   2.83886261E+06   8.60054524E+02   8.60054524E+02   6.25551759E+01   8.60054524E+02   8.60054524E+02
   1.90000000E-02   2.61638985E+06   8.37982086E+02   8.37982086E+02   5.98960313E+01   8.37982086E+02   8.37982086E+02
   1.92000000E-02   2.40054762E+06   8.16504399E+02   8.16504399E+02   5.73130172E+01   8.16504399E+02   8.16504399E+02
   1.94000000E-02   2.19108991E+06   7.95600303E+02   7.95600303E+02   5.48033537E+01   7.95600303E+02   7.95600303E+02
   1.96000000E-02   1.98778202E+06   7.75249584E+02   7.75249584E+02   5.23643874E+01   7.75249584E+02   7.75249584E+02
   1.98000000E-02   1.79039988E+06   7.55432924E+02   7.55432924E+02   4.99935845E+01   7.55432924E+02   7.55432924E+02
   2.00000000E-02   1.59872954E+06   7.36131855E+02   7.36131855E+02   4.76885240E+01   7.36131855E+02   7.36131855E+02
   2.02000000E-02   1.41256658E+06   7.17328714E+02   7.17328714E+02   4.54468923E+01   7.17328714E+02   7.17328714E+02
   2.04000000E-02   1.23171561E+06   6.99006596E+02   6.99006596E+02   4.32664766E+01   6.99006596E+02   6.99006596E+02
