# TBinMid=2.4515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   5.15774123E+09   3.30687044E+09   3.30687044E+09   4.29664476E+09   3.30687044E+09   3.30687044E+09
   9.80000000E-03   5.07605930E+09   3.27730586E+09   3.27730586E+09   4.28286060E+09   3.27730586E+09   3.27730586E+09
   1.00000000E-02   4.99717781E+09   3.24817301E+09   3.24817301E+09   4.26816459E+09   3.24817301E+09   3.24817301E+09
   1.02000000E-02   4.92095016E+09   3.21947567E+09   3.21947567E+09   4.25266718E+09   3.21947567E+09   3.21947567E+09
   1.04000000E-02   4.84723999E+09   3.19121563E+09   3.19121563E+09   4.23646709E+09   3.19121563E+09   3.19121563E+09
   1.06000000E-02   4.77592029E+09   3.16339306E+09   3.16339306E+09   4.21965264E+09   3.16339306E+09   3.16339306E+09
   1.08000000E-02   4.70687261E+09   3.13600672E+09   3.13600672E+09   4.20230293E+09   3.13600672E+09   3.13600672E+09
   1.10000000E-02   4.63998632E+09   3.10905425E+09   3.10905425E+09   4.18448889E+09   3.10905425E+09   3.10905425E+09
   1.12000000E-02   4.57515801E+09   3.08253227E+09   3.08253227E+09   4.16627416E+09   3.08253227E+09   3.08253227E+09
   1.14000000E-02   4.51229087E+09   3.05643666E+09   3.05643666E+09   4.14771589E+09   3.05643666E+09   3.05643666E+09
   1.16000000E-02   4.45129418E+09   3.03076258E+09   3.03076258E+09   4.12886545E+09   3.03076258E+09   3.03076258E+09
   1.18000000E-02   4.39208282E+09   3.00550468E+09   3.00550468E+09   4.10976901E+09   3.00550468E+09   3.00550468E+09
   1.20000000E-02   4.33457686E+09   2.98065717E+09   2.98065717E+09   4.09046813E+09   2.98065717E+09   2.98065717E+09
   1.22000000E-02   4.27870116E+09   2.95621389E+09   2.95621389E+09   4.07100022E+09   2.95621389E+09   2.95621389E+09
   1.24000000E-02   4.22438499E+09   2.91103222E+09   2.91103222E+09   4.01809162E+09   2.91103222E+09   2.91103222E+09
   1.26000000E-02   4.17156175E+09   2.86252644E+09   2.86252644E+09   3.95922578E+09   2.86252644E+09   2.86252644E+09
   1.28000000E-02   4.12016862E+09   2.81557211E+09   2.81557211E+09   3.90212333E+09   2.81557211E+09   2.81557211E+09
   1.30000000E-02   4.07014634E+09   2.77009653E+09   2.77009653E+09   3.84670520E+09   2.77009653E+09   2.77009653E+09
   1.32000000E-02   4.02143892E+09   2.72603147E+09   2.72603147E+09   3.79289703E+09   2.72603147E+09   2.72603147E+09
   1.34000000E-02   3.97399345E+09   2.68331279E+09   2.68331279E+09   3.74062877E+09   2.68331279E+09   2.68331279E+09
   1.36000000E-02   3.92775986E+09   2.64188021E+09   2.64188021E+09   3.68983443E+09   2.64188021E+09   2.64188021E+09
   1.38000000E-02   3.88133632E+09   2.60167694E+09   2.60167694E+09   3.64045175E+09   2.60167694E+09   2.60167694E+09
   1.40000000E-02   3.79178742E+09   2.56264950E+09   2.56264950E+09   3.59242195E+09   2.56264950E+09   2.56264950E+09
   1.42000000E-02   3.70523793E+09   2.52474745E+09   2.52474745E+09   3.54568949E+09   2.52474745E+09   2.52474745E+09
   1.44000000E-02   3.62154972E+09   2.48792317E+09   2.48792317E+09   3.50020184E+09   2.48792317E+09   2.48792317E+09
   1.46000000E-02   3.54059277E+09   2.45213170E+09   2.45213170E+09   3.45590930E+09   2.45213170E+09   2.45213170E+09
   1.48000000E-02   3.46224458E+09   2.41733053E+09   2.41733053E+09   3.41276480E+09   2.41733053E+09   2.41733053E+09
   1.50000000E-02   3.38638965E+09   2.38347942E+09   2.38347942E+09   3.37072371E+09   2.38347942E+09   2.38347942E+09
   1.52000000E-02   3.31291902E+09   2.35054031E+09   2.35054031E+09   3.32974370E+09   2.35054031E+09   2.35054031E+09
   1.54000000E-02   3.24172975E+09   2.31847712E+09   2.31847712E+09   3.28978460E+09   2.31847712E+09   2.31847712E+09
   1.56000000E-02   3.17272462E+09   2.28725563E+09   2.28725563E+09   3.25080827E+09   2.28725563E+09   2.28725563E+09
   1.58000000E-02   3.10581165E+09   2.25684340E+09   2.25684340E+09   3.21277842E+09   2.25684340E+09   2.25684340E+09
   1.60000000E-02   3.04090380E+09   2.22720960E+09   2.22720960E+09   3.17566056E+09   2.22720960E+09   2.22720960E+09
   1.62000000E-02   2.97791867E+09   2.19832496E+09   2.19832496E+09   3.13942188E+09   2.19832496E+09   2.19832496E+09
   1.64000000E-02   2.91677814E+09   2.17016165E+09   2.17016165E+09   3.10403110E+09   2.17016165E+09   2.17016165E+09
