# TBinMid=0.75 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   5.84323787E+09   6.96881156E+09   6.96881156E+09   5.76866446E+09   5.45572039E+09   5.45572039E+09
   9.80000000E-03   5.85327632E+09   6.93757441E+09   6.93757441E+09   5.80184160E+09   5.48050218E+09   5.48050218E+09
   1.00000000E-02   5.85721904E+09   6.89892280E+09   6.89892280E+09   5.82822007E+09   5.49963669E+09   5.49963669E+09
   1.02000000E-02   5.85529714E+09   6.85329836E+09   6.85329836E+09   5.84798147E+09   5.51329141E+09   5.51329141E+09
   1.04000000E-02   5.84774539E+09   6.80113809E+09   6.80113809E+09   5.86131846E+09   5.52163989E+09   5.52163989E+09
   1.06000000E-02   5.83480098E+09   6.74287261E+09   6.74287261E+09   5.86843317E+09   5.52486057E+09   5.52486057E+09
   1.08000000E-02   5.81670248E+09   6.67892472E+09   6.67892472E+09   5.86953569E+09   5.52313584E+09   5.52313584E+09
   1.10000000E-02   5.79368886E+09   6.60970816E+09   6.60970816E+09   5.86484268E+09   5.51665112E+09   5.51665112E+09
   1.12000000E-02   5.76599855E+09   6.53562644E+09   6.53562644E+09   5.85457602E+09   5.50559398E+09   5.50559398E+09
   1.14000000E-02   5.73386869E+09   6.45707200E+09   6.45707200E+09   5.83896161E+09   5.49015335E+09   5.49015335E+09
   1.16000000E-02   5.69753436E+09   6.37442538E+09   6.37442538E+09   5.81822825E+09   5.47051882E+09   5.47051882E+09
   1.18000000E-02   5.65722793E+09   6.28805464E+09   6.28805464E+09   5.79260655E+09   5.44687997E+09   5.44687997E+09
   1.20000000E-02   5.61317849E+09   6.19831483E+09   6.19831483E+09   5.76232797E+09   5.41942574E+09   5.41942574E+09
   1.22000000E-02   5.56561131E+09   6.10554763E+09   6.10554763E+09   5.72762395E+09   5.38834389E+09   5.38834389E+09
   1.24000000E-02   5.51474743E+09   6.01008109E+09   6.01008109E+09   5.68872508E+09   5.35382051E+09   5.35382051E+09
   1.26000000E-02   5.46080320E+09   5.91222941E+09   5.91222941E+09   5.64586035E+09   5.31603955E+09   5.31603955E+09
   1.28000000E-02   5.40398997E+09   5.81229288E+09   5.81229288E+09   5.59925649E+09   5.27518242E+09   5.27518242E+09
   1.30000000E-02   5.34451379E+09   5.71055787E+09   5.71055787E+09   5.54913739E+09   5.23142765E+09   5.23142765E+09
   1.32000000E-02   5.28257517E+09   5.60729688E+09   5.60729688E+09   5.49572348E+09   5.18495050E+09   5.18495050E+09
   1.34000000E-02   5.21836884E+09   5.50276863E+09   5.50276863E+09   5.43923134E+09   5.13592276E+09   5.13592276E+09
   1.36000000E-02   5.15208361E+09   5.39721826E+09   5.39721826E+09   5.37987319E+09   5.08451243E+09   5.08451243E+09
   1.38000000E-02   5.08390223E+09   5.29087754E+09   5.29087754E+09   5.31785656E+09   5.03088355E+09   5.03088355E+09
   1.40000000E-02   5.01400128E+09   5.18396510E+09   5.18396510E+09   5.25338394E+09   4.97519601E+09   4.97519601E+09
   1.42000000E-02   4.94255113E+09   5.07668675E+09   5.07668675E+09   5.18665253E+09   4.91760536E+09   4.91760536E+09
   1.44000000E-02   4.86971586E+09   4.96923577E+09   4.96923577E+09   5.11785395E+09   4.85826273E+09   4.85826273E+09
   1.46000000E-02   4.79565327E+09   4.86179329E+09   4.86179329E+09   5.04717409E+09   4.79731468E+09   4.79731468E+09
   1.48000000E-02   4.72051486E+09   4.75452859E+09   4.75452859E+09   4.97479292E+09   4.73490316E+09   4.73490316E+09
   1.50000000E-02   4.64444591E+09   4.64759954E+09   4.64759954E+09   4.90088437E+09   4.67116543E+09   4.67116543E+09
   1.52000000E-02   4.56758545E+09   4.54115297E+09   4.54115297E+09   4.82561625E+09   4.60623400E+09   4.60623400E+09
   1.54000000E-02   4.49006638E+09   4.43532504E+09   4.43532504E+09   4.74915015E+09   4.54023666E+09   4.54023666E+09
   1.56000000E-02   4.41201553E+09   4.33024170E+09   4.33024170E+09   4.67164144E+09   4.47329642E+09   4.47329642E+09
   1.58000000E-02   4.33355373E+09   4.22601905E+09   4.22601905E+09   4.59323922E+09   4.40553157E+09   4.40553157E+09
   1.60000000E-02   4.25479596E+09   4.12276379E+09   4.12276379E+09   4.51408636E+09   4.33705564E+09   4.33705564E+09
   1.62000000E-02   4.17585139E+09   4.02057357E+09   4.02057357E+09   4.43431952E+09   4.26797751E+09   4.26797751E+09
   1.64000000E-02   4.09682356E+09   3.91953748E+09   3.91953748E+09   4.35406916E+09   4.19840140E+09   4.19840140E+09
   1.66000000E-02   4.01781050E+09   3.81973640E+09   3.81973640E+09   4.27345968E+09   4.12842693E+09   4.12842693E+09
   1.68000000E-02   3.93890483E+09   3.72124339E+09   3.72124339E+09   4.19260940E+09   4.05814922E+09   4.05814922E+09
   1.70000000E-02   3.86019393E+09   3.62412410E+09   3.62412410E+09   4.11163076E+09   3.98765894E+09   3.98765894E+09
   1.72000000E-02   3.78176008E+09   3.52843716E+09   3.52843716E+09   4.03063033E+09   3.91704239E+09   3.91704239E+09
   1.74000000E-02   3.70368060E+09   3.43423455E+09   3.43423455E+09   3.94970898E+09   3.84638158E+09   3.84638158E+09
   1.76000000E-02   3.62602799E+09   3.34156193E+09   3.34156193E+09   3.86896198E+09   3.77575433E+09   3.77575433E+09
   1.78000000E-02   3.54887012E+09   3.25045905E+09   3.25045905E+09   3.78847915E+09   3.70523440E+09   3.70523440E+09
   1.80000000E-02   3.47227035E+09   3.16096005E+09   3.16096005E+09   3.70834497E+09   3.63489151E+09   3.63489151E+09
   1.82000000E-02   3.39628769E+09   3.07309379E+09   3.07309379E+09   3.62863875E+09   3.56479151E+09   3.56479151E+09
   1.84000000E-02   3.32097695E+09   2.98688422E+09   2.98688422E+09   3.54943475E+09   3.49499647E+09   3.49499647E+09
   1.86000000E-02   3.24638893E+09   2.90235064E+09   2.90235064E+09   3.47080236E+09   3.42556478E+09   3.42556478E+09
   1.88000000E-02   3.17257052E+09   2.81950802E+09   2.81950802E+09   3.39280624E+09   3.35655125E+09   3.35655125E+09
   1.90000000E-02   3.09956488E+09   2.73836727E+09   2.73836727E+09   3.31550648E+09   3.28800726E+09   3.28800726E+09
   1.92000000E-02   3.02741160E+09   2.65893555E+09   2.65893555E+09   3.23895875E+09   3.21998082E+09   3.21998082E+09
   1.94000000E-02   2.95614683E+09   2.58121649E+09   2.58121649E+09   3.16321447E+09   3.15251672E+09   3.15251672E+09
   1.96000000E-02   2.88580342E+09   2.50521046E+09   2.50521046E+09   3.08832094E+09   3.08565661E+09   3.08565661E+09
   1.98000000E-02   2.81641109E+09   2.43091484E+09   2.43091484E+09   3.01432156E+09   3.01943916E+09   3.01943916E+09
   2.00000000E-02   2.74799656E+09   2.35832417E+09   2.35832417E+09   2.94125592E+09   2.95390012E+09   2.95390012E+09
   2.02000000E-02   2.68058367E+09   2.28743048E+09   2.28743048E+09   2.86915999E+09   2.88907245E+09   2.88907245E+09
   2.04000000E-02   2.61419353E+09   2.21822338E+09   2.21822338E+09   2.79806626E+09   2.82498642E+09   2.82498642E+09
   2.06000000E-02   2.54884465E+09   2.15069036E+09   2.15069036E+09   2.72800392E+09   2.76166974E+09   2.76166974E+09
   2.08000000E-02   2.48455309E+09   2.08481690E+09   2.08481690E+09   2.65899897E+09   2.69914765E+09   2.69914765E+09
   2.10000000E-02   2.42133254E+09   2.02058668E+09   2.02058668E+09   2.59107439E+09   2.63744302E+09   2.63744302E+09
   2.12000000E-02   2.35919446E+09   1.95798177E+09   1.95798177E+09   2.52425029E+09   2.57657644E+09   2.57657644E+09
