# TBinMid=0.6515 ssec TBinWidth=0.1 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   5.13190444E+09   7.78196178E+09   7.78196178E+09   7.09365328E+09   5.49511291E+09   5.49511291E+09
   9.80000000E-03   5.09550264E+09   7.66714312E+09   7.66714312E+09   7.06359442E+09   5.46305443E+09   5.46305443E+09
   1.00000000E-02   5.05920400E+09   7.55604609E+09   7.55604609E+09   7.03246673E+09   5.43069264E+09   5.43069264E+09
   1.02000000E-02   5.02305499E+09   7.44848561E+09   7.44848561E+09   7.00042129E+09   5.39810693E+09   5.39810693E+09
   1.04000000E-02   4.98709551E+09   7.34428889E+09   7.34428889E+09   6.96759250E+09   5.36536710E+09   5.36536710E+09
   1.06000000E-02   4.95135971E+09   7.24329442E+09   7.24329442E+09   6.93410005E+09   5.33253449E+09   5.33253449E+09
   1.08000000E-02   4.91587674E+09   7.14535108E+09   7.14535108E+09   6.90005062E+09   5.29966298E+09   5.29966298E+09
   1.10000000E-02   4.88067140E+09   7.05031728E+09   7.05031728E+09   6.86553937E+09   5.26679992E+09   5.26679992E+09
   1.12000000E-02   4.84576467E+09   6.95806024E+09   6.95806024E+09   6.83065120E+09   5.23398687E+09   5.23398687E+09
   1.14000000E-02   4.81117416E+09   6.86845528E+09   6.86845528E+09   6.79546193E+09   5.20126027E+09   5.20126027E+09
   1.16000000E-02   4.77691458E+09   6.78138522E+09   6.78138522E+09   6.76003927E+09   5.16865205E+09   5.16865205E+09
   1.18000000E-02   4.74299807E+09   6.69673982E+09   6.69673982E+09   6.72444372E+09   5.13619016E+09   5.13619016E+09
   1.20000000E-02   4.70943454E+09   6.61441526E+09   6.61441526E+09   6.68872934E+09   5.10389896E+09   5.10389896E+09
   1.22000000E-02   4.65526941E+09   6.52335638E+09   6.52335638E+09   6.61419927E+09   5.04630522E+09   5.04630522E+09
   1.24000000E-02   4.58167368E+09   6.42407969E+09   6.42407969E+09   6.50304928E+09   4.96484391E+09   4.96484391E+09
   1.26000000E-02   4.51039088E+09   6.32786113E+09   6.32786113E+09   6.39549824E+09   4.88596976E+09   4.88596976E+09
   1.28000000E-02   4.44131330E+09   6.23456024E+09   6.23456024E+09   6.29137526E+09   4.80956147E+09   4.80956147E+09
   1.30000000E-02   4.37433986E+09   6.14404509E+09   6.14404509E+09   6.19052008E+09   4.73550520E+09   4.73550520E+09
   1.32000000E-02   4.30937555E+09   6.05619160E+09   6.05619160E+09   6.09278224E+09   4.66369401E+09   4.66369401E+09
   1.34000000E-02   4.24633101E+09   5.97088302E+09   5.97088302E+09   5.99802035E+09   4.59402733E+09   4.59402733E+09
   1.36000000E-02   4.18512212E+09   5.88800932E+09   5.88800932E+09   5.90610140E+09   4.52641055E+09   4.52641055E+09
   1.38000000E-02   4.12370928E+09   5.76430785E+09   5.76430785E+09   5.81690018E+09   4.46075450E+09   4.46075450E+09
   1.40000000E-02   4.06357488E+09   5.63396380E+09   5.63396380E+09   5.73029871E+09   4.39697513E+09   4.39697513E+09
   1.42000000E-02   4.00515154E+09   5.50796265E+09   5.50796265E+09   5.64618571E+09   4.33499312E+09   4.33499312E+09
   1.44000000E-02   3.94836747E+09   5.38610493E+09   5.38610493E+09   5.56445614E+09   4.27473356E+09   4.27473356E+09
   1.46000000E-02   3.89315488E+09   5.26820286E+09   5.26820286E+09   5.48501077E+09   4.21612564E+09   4.21612564E+09
   1.48000000E-02   3.83944962E+09   5.15407951E+09   5.15407951E+09   5.40775579E+09   4.15910240E+09   4.15910240E+09
