# TBinMid=-0.0335 ssec TBinWidth=0.01 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   9.60000000E-03   3.62960075E+06   7.98369130E+07   7.98369130E+07   2.29182901E+04   8.03233803E+03   8.03233803E+03
   9.80000000E-03   3.38013899E+06   7.43461099E+07   7.43461099E+07   2.09620612E+04   7.52312803E+03   7.52312803E+03
   1.00000000E-02   3.14412828E+06   6.91513936E+07   6.91513936E+07   1.91135530E+04   7.04112284E+03   7.04112284E+03
   1.02000000E-02   2.92064252E+06   6.42323784E+07   6.42323784E+07   1.73652845E+04   6.58445671E+03   6.58445671E+03
   1.04000000E-02   2.70883458E+06   5.95704164E+07   5.95704164E+07   1.57104156E+04   6.15142258E+03   6.15142258E+03
   1.06000000E-02   2.50792825E+06   5.51484209E+07   5.51484209E+07   1.41426818E+04   5.74045597E+03   5.74045597E+03
   1.08000000E-02   2.31721113E+06   5.09507102E+07   5.09507102E+07   1.26563364E+04   5.35012077E+03   5.35012077E+03
   1.10000000E-02   2.13602842E+06   4.69628706E+07   4.69628706E+07   1.12460995E+04   4.97909668E+03   4.97909668E+03
   1.12000000E-02   1.96377735E+06   4.31716331E+07   4.31716331E+07   9.90711308E+03   4.62616806E+03   4.62616806E+03
   1.14000000E-02   1.79990225E+06   3.95647661E+07   3.95647661E+07   8.63490077E+03   4.29021401E+03   4.29021401E+03
   1.16000000E-02   1.64389015E+06   3.61309779E+07   3.61309779E+07   7.42533211E+03   3.97019959E+03   3.97019959E+03
   1.18000000E-02   1.49526689E+06   3.28598309E+07   3.28598309E+07   6.27459082E+03   3.66516793E+03   3.66516793E+03
   1.20000000E-02   1.35359359E+06   2.97416644E+07   2.97416644E+07   5.17914630E+03   3.37423323E+03   3.37423323E+03
   1.22000000E-02   1.21844027E+06   2.67675138E+07   2.67675138E+07   4.52938198E+03   3.17059122E+03   3.17059122E+03
   1.24000000E-02   1.08943147E+06   2.39290736E+07   2.39290736E+07   4.29019756E+03   3.04745129E+03   3.04745129E+03
   1.26000000E-02   9.66240197E+05   2.12186404E+07   2.12186404E+07   4.06122230E+03   2.92935436E+03   2.92935436E+03
   1.28000000E-02   8.48540355E+05   1.86290386E+07   1.86290386E+07   3.84189652E+03   2.81602887E+03   2.81602887E+03
   1.30000000E-02   7.36028370E+05   1.61535884E+07   1.61535884E+07   3.63169873E+03   2.70722160E+03   2.70722160E+03
   1.32000000E-02   6.28421327E+05   1.37860644E+07   1.37860644E+07   3.43014245E+03   2.60269616E+03   2.60269616E+03
   1.34000000E-02   5.25455293E+05   1.15206589E+07   1.15206589E+07   3.23677343E+03   2.50223166E+03   2.50223166E+03
   1.36000000E-02   4.26883801E+05   9.35194852E+06   9.35194852E+06   3.05116711E+03   2.40562147E+03   2.40562147E+03
   1.38000000E-02   3.93460885E+05   8.61750818E+06   8.61750818E+06   2.87292624E+03   2.31267213E+03   2.31267213E+03
   1.40000000E-02   3.75833797E+05   8.23078120E+06   8.23078120E+06   2.70167886E+03   2.22320233E+03   2.22320233E+03
   1.42000000E-02   3.58871155E+05   7.85863468E+06   7.85863468E+06   2.53707628E+03   2.13704201E+03   2.13704201E+03
